Id;GroupCode;AccountingCode;Major;Grouping
315;"7035 ";"3107 ";B;"2.3.2    "
316;"7035 ";"3017 ";B;"2.3.2    "
317;"7035 ";"3105 ";B;"2.3.2    "
318;"7035 ";"3106 ";B;"2.3.2    "
319;"7036 ";"3064 ";B;"2.3.2    "
320;"7036 ";"3071 ";B;"2.3.2    "
321;"7036 ";"3217 ";B;"2.3.2    "
322;"7036 ";"3059 ";B;"2.3.2    "
323;"7038 ";"3071 ";B;"2.3.2    "
324;"7038 ";"3143 ";B;"2.3.2    "
325;"7038 ";"3059 ";B;"2.3.2    "
326;"7040 ";"3071 ";B;"2.3.2    "
327;"7040 ";"3143 ";B;"2.3.2    "
328;"7040 ";"3059 ";B;"2.3.2    "
329;"7042 ";"3064 ";B;"2.3.2    "
330;"7042 ";"3071 ";B;"2.3.2    "
331;"7042 ";"3143 ";B;"2.3.2    "
332;"7042 ";"3059 ";B;"2.3.2    "
333;"7044 ";"3064 ";B;"2.3.2    "
334;"7044 ";"3071 ";B;"2.3.2    "
335;"7044 ";"3143 ";B;"2.3.2    "
336;"7044 ";"3059 ";B;"2.3.2    "
337;"7046 ";"3071 ";B;"2.3.2    "
338;"7046 ";"3143 ";B;"2.3.2    "
339;"7046 ";"3059 ";B;"2.3.2    "
340;"7048 ";"3064 ";B;"2.3.2    "
341;"7048 ";"3071 ";B;"2.3.2    "
342;"7048 ";"3217 ";B;"2.3.2    "
343;"7048 ";"3059 ";B;"2.3.2    "
344;"7050 ";"3071 ";B;"2.3.2    "
345;"7050 ";"3218 ";B;"2.3.2    "
346;"7050 ";"3051 ";B;"2.3.2    "
347;"7050 ";"3217 ";B;"2.3.2    "
348;"7050 ";"3059 ";B;"2.3.2    "
349;"7050 ";"3064 ";B;"2.3.2    "
350;"7052 ";"3071 ";B;"2.3.2    "
351;"7052 ";"3217 ";B;"2.3.2    "
352;"7052 ";"3059 ";B;"2.3.2    "
353;"7054 ";"3064 ";B;"2.3.2    "
354;"7054 ";"3071 ";B;"2.3.2    "
355;"7054 ";"3217 ";B;"2.3.2    "
356;"7054 ";"3059 ";B;"2.3.2    "
357;"7060 ";"3064 ";B;"2.3.2    "
358;"7060 ";"3071 ";B;"2.3.2    "
359;"7060 ";"3059 ";B;"2.3.2    "
360;"7052 ";"3064 ";B;"2.3.2    "
361;"7032 ";"3059 ";B;"2.3.2    "
362;"7052 ";"3052 ";B;"2.3.2    "
363;"7048 ";"3219 ";B;"2.3.2    "
364;"7034 ";"3214 ";B;"2.3.2    "
365;"7050 ";"3219 ";B;"2.3.2    "
366;"7052 ";"3219 ";B;"2.3.2    "
367;"7054 ";"3219 ";B;"2.3.2    "
368;"7031 ";"3145 ";B;"2.3.2    "
369;"7033 ";"3145 ";B;"2.3.2    "
370;"7037 ";"3145 ";B;"2.3.2    "
371;"7039 ";"3145 ";B;"2.3.2    "
372;"7030 ";"3148 ";B;"2.3.2    "
373;"7032 ";"3148 ";B;"2.3.2    "
374;"7034 ";"3148 ";B;"2.3.2    "
375;"7036 ";"3219 ";B;"2.3.2    "
376;"7038 ";"3148 ";B;"2.3.2    "
377;"7040 ";"3148 ";B;"2.3.2    "
378;"7042 ";"3148 ";B;"2.3.2    "
379;"7046 ";"3148 ";B;"2.3.2    "
380;"7044 ";"3148 ";B;"2.3.2    "
381;"7062 ";"3148 ";B;"2.3.2    "
382;"7061 ";"3145 ";B;"2.3.2    "
383;"7034 ";"3046 ";B;"2.3.2    "
384;"7036 ";"3046 ";B;"2.3.2    "
385;"7038 ";"3046 ";B;"2.3.2    "
386;"7040 ";"3046 ";B;"2.3.2    "
387;"7042 ";"3046 ";B;"2.3.2    "
388;"7044 ";"3046 ";B;"2.3.2    "
389;"7046 ";"3046 ";B;"2.3.2    "
390;"7048 ";"3046 ";B;"2.3.2    "
391;"7050 ";"3046 ";B;"2.3.2    "
392;"7052 ";"3046 ";B;"2.3.2    "
393;"7054 ";"3046 ";B;"2.3.2    "
394;"7056 ";"3046 ";B;"2.3.2    "
395;"7062 ";"3046 ";B;"2.3.2    "
396;"7064 ";"3046 ";B;"2.3.2    "
397;"7066 ";"3046 ";B;"2.3.2    "
398;"7032 ";"3046 ";B;"2.3.2    "
1279;7034;3139;B;"2.3.2    "
400;"7060 ";"3046 ";B;"2.3.2    "
401;"7056 ";"3064 ";B;"2.3.2    "
402;"7050 ";"3061 ";B;"2.3.2    "
404;"7010 ";"2007 ";B;"2.3.2    "
405;"7010 ";"2009 ";B;"2.3.2    "
406;"7010 ";"2016 ";B;"2.3.2    "
407;"7035 ";"3108 ";B;"2.3.2    "
408;"7035 ";"3110 ";B;"2.3.2    "
409;"7046 ";"3005 ";B;"2.3.2    "
410;"7033 ";"3056 ";B;"2.3.2    "
411;"8000 ";"3104 ";B;"2.3.2    "
412;"7000 ";"1110 ";B;"2.3.2    "
413;"7032 ";"3211 ";B;"2.3.2    "
414;"7036 ";"3061 ";B;"2.3.2    "
415;"7032 ";"3005 ";B;"2.3.2    "
416;"7037 ";"3052 ";B;"2.3.2    "
417;"7044 ";"3005 ";B;"2.3.2    "
418;"7032 ";"3061 ";B;"2.3.2    "
419;"7031 ";"3014 ";B;"2.3.2    "
420;"7032 ";"2000 ";B;"2.3.2    "
421;"7033 ";"3014 ";B;"2.3.2    "
422;"7035 ";"3100 ";B;"2.3.2    "
423;"7039 ";"3014 ";B;"2.3.2    "
424;"7029 ";"3014 ";B;"2.3.2    "
425;"8000 ";"3901 ";B;"2.3.2    "
426;"7037 ";"3014 ";B;"2.3.2    "
427;"7032 ";"6000 ";B;"2.3.2    "
428;"7036 ";"3005 ";B;"2.3.2    "
429;"7029 ";"0003 ";B;"2.3.2    "
430;"7029 ";"3141 ";B;"2.3.2    "
431;"7031 ";"3141 ";B;"2.3.2    "
432;"7033 ";"3141 ";B;"2.3.2    "
433;"7037 ";"3141 ";B;"2.3.2    "
434;"7039 ";"3141 ";B;"2.3.2    "
435;"7052 ";"3036 ";B;"2.3.2    "
436;"7046 ";"3064 ";B;"2.3.2    "
437;"7048 ";"3052 ";B;"2.3.2    "
438;"7054 ";"3052 ";B;"2.3.2    "
439;"7050 ";"3052 ";B;"2.3.2    "
440;"7010 ";"2004 ";B;"2.3.2    "
441;"8000 ";"3902 ";B;"2.3.2    "
442;"7061 ";"3014 ";B;"2.3.2    "
443;"7061 ";"3018 ";B;"2.3.2    "
444;"7061 ";"3019 ";B;"2.3.2    "
445;"7061 ";"3020 ";B;"2.3.2    "
446;"7061 ";"3050 ";B;"2.3.2    "
447;"7061 ";"3127 ";B;"2.3.2    "
448;"7061 ";"3129 ";B;"2.3.2    "
449;"7061 ";"3130 ";B;"2.3.2    "
450;"7061 ";"3131 ";B;"2.3.2    "
451;"7061 ";"3132 ";B;"2.3.2    "
452;"7061 ";"3141 ";B;"2.3.2    "
453;"7061 ";"3144 ";B;"2.3.2    "
454;"7061 ";"3214 ";B;"2.3.2    "
455;"7062 ";"2000 ";B;"2.3.2    "
456;"7062 ";"3005 ";B;"2.3.2    "
