id;ts_code;product_code;qty;created_by;created_date;updated_by;updated_date;is_active
116;059514;52401;1.000;Jelita;"2014-09-09 16:46:16.727";NULL;NULL;Y
117;059514;51457;10.000;Jelita;"2014-09-09 16:46:16.727";NULL;NULL;Y
118;059515;51458;1.000;Jelita;"2014-09-09 16:48:02.360";NULL;NULL;Y
119;059515;51457;6.000;Jelita;"2014-09-09 16:48:02.360";NULL;NULL;Y
120;059515;50620;1.000;Jelita;"2014-09-09 16:48:02.360";NULL;NULL;Y
121;059517;51458;3.000;Jelita;"2014-09-09 16:51:47.450";NULL;NULL;Y
122;059517;51457;10.000;Jelita;"2014-09-09 16:51:47.450";NULL;NULL;Y
123;059517;52401;1.000;Jelita;"2014-09-09 16:51:47.450";NULL;NULL;Y
124;059519;52401;3.000;Jelita;"2014-09-09 16:53:17.613";NULL;NULL;Y
125;059512;51458;1.000;Jelita;"2014-09-09 16:54:31.457";NULL;NULL;Y
126;059520;52401;2.000;Jelita;"2014-09-09 16:55:28.293";NULL;NULL;Y
127;059545;52613;178.000;"Stainly Langkay";"2014-09-10 09:29:48.727";NULL;NULL;Y
128;059546;50159;16.000;"Stainly Langkay";"2014-09-10 09:32:06.657";NULL;NULL;Y
129;094394;91117;700.000;"Stainly Langkay";"2014-09-10 09:35:11.157";NULL;NULL;Y
130;094395;90255;3.000;"Stainly Langkay";"2014-09-10 09:37:44.730";NULL;NULL;Y
131;094395;90256;3.000;"Stainly Langkay";"2014-09-10 09:37:44.730";NULL;NULL;Y
132;094395;92134;1.000;"Stainly Langkay";"2014-09-10 09:37:44.730";NULL;NULL;Y
133;059547;51458;3.000;"Stainly Langkay";"2014-09-10 09:44:08.547";NULL;NULL;Y
134;059547;52401;3.000;"Stainly Langkay";"2014-09-10 09:44:08.547";NULL;NULL;Y
135;059547;50003;2.000;"Stainly Langkay";"2014-09-10 09:44:08.547";NULL;NULL;Y
136;094396;90129;1.000;"Stainly Langkay";"2014-09-10 09:45:47.213";NULL;NULL;Y
137;066495;63017;1.000;"Stainly Langkay";"2014-09-10 09:49:30.957";NULL;NULL;Y
138;094397;90839;11.000;"Stainly Langkay";"2014-09-10 09:51:36.783";NULL;NULL;Y
139;066496;60083;1.000;"Stainly Langkay";"2014-09-10 10:08:33.863";NULL;NULL;Y
140;094398;90580;50.000;"Stainly Langkay";"2014-09-10 10:49:30.070";NULL;NULL;Y
141;094399;90099;600.000;Jelita;"2014-09-10 11:17:21.067";NULL;NULL;Y
142;094399;90162;10.000;Jelita;"2014-09-10 11:17:21.067";NULL;NULL;Y
143;059548;51458;1.000;Jelita;"2014-09-10 11:44:47.957";NULL;NULL;Y
144;066497;62408;4.000;Uwen;"2014-09-10 11:45:57.660";NULL;NULL;Y
145;066497;60439;4.000;Uwen;"2014-09-10 11:45:57.660";NULL;NULL;Y
146;066497;60440;4.000;Uwen;"2014-09-10 11:45:57.660";NULL;NULL;Y
147;066497;62404;2.000;Uwen;"2014-09-10 11:45:57.660";NULL;NULL;Y
148;066498;60083;2.000;Uwen;"2014-09-10 13:33:34.000";NULL;NULL;Y
149;059549;51458;4.000;"Stainly Langkay";"2014-09-10 14:05:11.180";NULL;NULL;Y
150;059550;51458;4.000;"Stainly Langkay";"2014-09-10 14:27:18.987";NULL;NULL;Y
151;059550;52401;2.000;"Stainly Langkay";"2014-09-10 14:27:18.987";NULL;NULL;Y
152;059550;50880;30.000;"Stainly Langkay";"2014-09-10 14:27:18.987";NULL;NULL;Y
153;094400;90815;1.000;"Stainly Langkay";"2014-09-10 14:45:43.820";NULL;NULL;Y
