id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
208;203531;63496;USER0008;NULL;NULL;NULL;NULL;Y
209;203532;60064;USER0007;NULL;NULL;NULL;NULL;Y
210;203534;69959;USER0007;NULL;NULL;NULL;NULL;Y
211;203539;63823;USER0007;NULL;NULL;NULL;NULL;Y
212;203539;63824;USER0007;NULL;NULL;NULL;NULL;Y
213;203539;63825;USER0007;NULL;NULL;NULL;NULL;Y
214;203539;63826;USER0007;NULL;NULL;NULL;NULL;Y
215;203540;01760;USER0007;NULL;NULL;NULL;NULL;Y
216;203543;63836;USER0008;NULL;NULL;NULL;NULL;Y
217;203544;63838;USER0007;NULL;NULL;NULL;NULL;Y
218;203544;63925;USER0007;NULL;NULL;NULL;NULL;Y
219;203544;63843;USER0007;NULL;NULL;NULL;NULL;Y
220;203544;63844;USER0007;NULL;NULL;NULL;NULL;Y
221;203548;62702;USER0008;NULL;NULL;NULL;NULL;Y
222;203549;63846;USER0008;NULL;NULL;NULL;NULL;Y
223;203550;63847;USER0008;NULL;NULL;NULL;NULL;Y
224;203550;63848;USER0008;NULL;NULL;NULL;NULL;Y
225;203551;63857;USER0007;NULL;NULL;NULL;NULL;Y
226;203551;63858;USER0007;NULL;NULL;NULL;NULL;Y
227;203551;63859;USER0007;NULL;NULL;NULL;NULL;Y
228;203551;63860;USER0007;NULL;NULL;NULL;NULL;Y
229;203551;63861;USER0007;NULL;NULL;NULL;NULL;Y
230;203551;63862;USER0007;NULL;NULL;NULL;NULL;Y
231;203553;01762;USER0008;NULL;NULL;NULL;NULL;Y
232;203554;63805;USER0008;NULL;NULL;NULL;NULL;Y
233;203555;01763;USER0007;NULL;NULL;NULL;NULL;Y
234;203555;01764;USER0007;NULL;NULL;NULL;NULL;Y
235;203555;01765;USER0007;NULL;NULL;NULL;NULL;Y
236;100050;99969;USER0009;NULL;NULL;NULL;NULL;Y
237;100051;99970;USER0009;NULL;NULL;NULL;NULL;Y
238;203557;90097;USER0009;NULL;NULL;NULL;NULL;Y
239;203559;60712;USER0008;NULL;NULL;NULL;NULL;Y
240;203561;63601;USER0009;NULL;NULL;NULL;NULL;Y
241;203563;01578;USER0008;NULL;NULL;NULL;NULL;Y
242;203564;51222;USER0007;NULL;NULL;NULL;NULL;Y
243;203564;50015;USER0007;NULL;NULL;NULL;NULL;Y
244;203565;60522;USER0007;NULL;NULL;NULL;NULL;Y
245;203567;01767;USER0009;NULL;NULL;NULL;NULL;Y
246;203569;61771;USER0009;NULL;NULL;NULL;NULL;Y
247;203570;63292;USER0008;NULL;NULL;NULL;NULL;Y
248;203571;50818;USER0007;NULL;NULL;NULL;NULL;Y
249;203571;51223;USER0007;NULL;NULL;NULL;NULL;Y
250;203574;91082;USER0007;NULL;NULL;NULL;NULL;Y
251;203574;52427;USER0007;NULL;NULL;NULL;NULL;Y
252;203574;52428;USER0007;NULL;NULL;NULL;NULL;Y
253;203574;60064;USER0007;NULL;NULL;NULL;NULL;Y
254;203574;52378;USER0007;NULL;NULL;NULL;NULL;Y
255;203574;62661;USER0007;NULL;NULL;NULL;NULL;Y
256;203574;64152;USER0007;NULL;NULL;NULL;NULL;Y
257;203574;60602;USER0007;NULL;NULL;NULL;NULL;Y
258;203575;63856;USER0007;NULL;NULL;NULL;NULL;Y
259;203575;63668;USER0007;NULL;NULL;NULL;NULL;Y
260;203575;63380;USER0007;NULL;NULL;NULL;NULL;Y
261;203575;63864;USER0007;NULL;NULL;NULL;NULL;Y
262;203575;50459;USER0007;NULL;NULL;NULL;NULL;Y
263;203575;50015;USER0007;NULL;NULL;NULL;NULL;Y
264;203575;60545;USER0007;NULL;NULL;NULL;NULL;Y
265;203575;63865;USER0007;NULL;NULL;NULL;NULL;Y
266;203576;63866;USER0007;NULL;NULL;NULL;NULL;Y
267;203576;63870;USER0007;NULL;NULL;NULL;NULL;Y
268;203578;01769;USER0008;NULL;NULL;NULL;NULL;Y
269;203579;60064;USER0008;NULL;NULL;NULL;NULL;Y
270;203579;62197;USER0008;NULL;NULL;NULL;NULL;Y
