id;prsnumber;canvassername;created_by;created_date;updated_by;updated_date;is_active
146;203605;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
147;203605;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
148;203606;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
149;203606;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
150;203607;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
151;203609;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
152;203610;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
153;203611;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
154;203612;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
155;203614;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
156;203615;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
157;203626;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
158;100052;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
159;203630;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
160;203634;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
161;203636;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
162;203645;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
163;203647;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
164;203648;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
165;203649;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
166;203651;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
167;203652;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
168;203654;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
169;203656;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
170;203661;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
171;203662;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
172;203664;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
173;203668;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
174;203669;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
175;203669;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
176;203671;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
177;203676;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
178;203680;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
179;203683;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
180;100054;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
181;203687;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
182;203688;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
183;203691;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
184;203694;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
185;203695;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
186;203695;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
187;203696;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
188;203698;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
189;203699;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
190;203700;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
191;203701;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
192;203702;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
193;203708;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
194;203709;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
195;203710;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
196;203710;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
197;203710;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
198;203712;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
199;203713;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
200;203714;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
201;203715;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
202;203715;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
203;203716;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
204;203717;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
205;203717;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
206;203717;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
207;203720;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
208;203721;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
209;203723;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
210;203724;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
211;203725;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
212;203727;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
213;203727;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
214;203727;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
215;203727;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
216;203728;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
217;203728;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
218;203729;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
219;203739;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
220;203740;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
221;203741;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
222;203744;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
223;203746;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
224;203747;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
225;203750;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
226;203751;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
227;203751;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
228;203752;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
229;203753;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
230;203753;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
231;203753;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
232;203754;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
233;203755;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
234;203757;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
235;203759;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
236;203760;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
237;203761;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
238;203766;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
239;203767;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
240;203768;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
241;203768;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
242;203769;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
243;203771;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
244;203773;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
245;203776;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
246;203778;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
247;203780;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
248;203785;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
249;203786;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
250;203788;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
251;203792;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
252;203794;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
253;203795;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
254;203795;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
255;203797;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
256;203797;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
257;203799;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
258;203801;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
259;203803;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
260;203804;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
261;203805;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
262;203806;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
263;203809;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
264;203811;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
265;203812;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
266;203813;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
267;203814;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
268;203815;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
269;203817;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
270;203818;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
271;203819;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
272;203820;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
273;203821;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
274;203823;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
275;203824;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
276;203825;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
277;203826;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
278;203827;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
279;203827;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
280;203827;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
281;203829;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
282;203830;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
283;203830;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
284;203830;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
285;203831;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
286;203832;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
287;203833;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
288;203834;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
289;203836;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
290;203838;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
291;203840;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
292;203842;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
293;203842;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
294;203842;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
295;203843;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
296;203844;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
297;203846;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
298;203847;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
299;203848;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
300;203849;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
301;203851;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
302;203852;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
303;203853;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
304;203854;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
305;203855;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
306;203856;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
307;203857;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
308;203857;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
309;203857;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
310;203858;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
311;203859;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
312;203867;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
313;203869;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
314;203871;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
315;203871;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
316;203873;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
317;203879;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
318;203879;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
319;203886;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
320;203886;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
321;203887;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
322;203891;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
323;203892;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
324;100056;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
325;203895;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
326;203896;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
327;203898;NULL;SYS;2014-07-19 09:45:28.267;NULL;NULL;Y
328;203900;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
329;203904;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
330;203907;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
